objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll030,mmc_cor_per_1996_doc010_fol001r.jpg,,,mmc_cor_per_1996_doc010_fol001r,,1996-06-14,Carta manuscrita enviada por Eugenio Montejo a MMC,cps_prize,Caracas,,,,,,image/jpeg,,,
coll031,mmc_cor_per_1996_doc010_fol001v.jpg,,,mmc_cor_per_1996_doc010_fol001v,,1996-06-14,Carta manuscrita enviada por Eugenio Montejo a MMC,poems_reading,Caracas,,,,,,image/jpeg,,,
coll032,mmc_cor_per_1998_doc001_fol001r.jpg,,,mmc_cor_per_1998_doc001_fol001r,,1998-05-05,Carta manuscrita enviada por Aída Avella a MMC,gratitude_for_magazine,Ginebra,,,,,,image/jpeg,,,
coll033,mmc_cor_per_1998_doc001_fol001v.jpg,,,mmc_cor_per_1998_doc001_fol001v,,1998-05-05,Carta manuscrita enviada por Aída Avella a MMC,,Ginebra,,,,,,image/jpeg,,,
coll034,mmc_cor_per_1998_doc008.jpg,,,mmc_cor_per_1998_doc008,,1998-03-16,Nota mecanografiada enviada por Víctor Rodríguez Núñez a MMC,gratitude_for_magazine,Austin,,,,,,image/jpeg,,,
coll035,mmc_cor_per_1998_doc011_fol001r.jpg,,,mmc_cor_per_1998_doc011_fol001r,,1998-07-26,Carta manuscrita enviada por Myriam Moscona a MMC,poems_reading; gratitude_for_magazine,,,,,,,image/jpeg,,,
coll036,mmc_cor_per_1998_doc011_fol001v.jpg,,,mmc_cor_per_1998_doc011_fol001v,,1998-07-26,Carta manuscrita enviada por Myriam Moscona a MMC,compliments_cps; other,,,,,,,image/jpeg,,,
coll037,mmc_cor_per_1998_doc013_fol002r.jpg,,,mmc_cor_per_1998_doc013_fol002r,,1998-09-24,Carta manuscrita enviada por Juan Liscano a MMC,,Caracas,,,,,,image/jpeg,,,
coll038,mmc_cor_per_1998_doc013_fol002v.jpg,,,mmc_cor_per_1998_doc013_fol002v,,1998-09-24,Carta manuscrita enviada por Juan Liscano a MMC,compliments_cps,Caracas,,,,,,image/jpeg,,,
coll039,mmc_cor_per_1998_doc013_fol003r.jpg,,,mmc_cor_per_1998_doc013_fol003r,,1998-09-24,Carta manuscrita enviada por Juan Liscano a MMC,,Caracas,,,,,,image/jpeg,,,
